iter	Logloss	AUC	Accuracy
0	0.432382673	0.9168311764	0.9027568235
1	0.3340252758	0.9340199519	0.9109861473
2	0.2701957369	0.9512574235	0.9214099575
3	0.2277186555	0.9640735331	0.923330133
4	0.2074399993	0.970874441	0.9292278151
5	0.1808784466	0.9751369292	0.9377314497
6	0.1665480639	0.9779407676	0.9408860239
7	0.152068622	0.9799610654	0.9471951721
8	0.1460680059	0.9817293588	0.9491153477
9	0.1399998885	0.9823276162	0.9521327664
10	0.1300218675	0.9847848523	0.9563845837
11	0.1237491865	0.9865933881	0.9592648471
12	0.1169040366	0.9877486824	0.9614593334
13	0.1130985671	0.9885786834	0.9629680428
14	0.1098573505	0.9889267528	0.9644767522
15	0.1062632419	0.9898627396	0.9655739953
16	0.104135588	0.9902808142	0.9657111507
17	0.1016235577	0.9908720152	0.9676313263
18	0.09668796729	0.9917207402	0.9691400357
19	0.09543663267	0.9919905603	0.970648745
20	0.09281837672	0.9924325289	0.9707859004
21	0.08874336108	0.9932292739	0.9718831436
22	0.08727198073	0.993341897	0.9724317652
23	0.08511753043	0.9938381509	0.973391853
24	0.08419221794	0.993976205	0.9742147854
25	0.08330881751	0.9941100671	0.9747634069
26	0.08162249144	0.9942973064	0.9751748731
27	0.08066454202	0.9944598133	0.9751748731
28	0.07861118154	0.9946107226	0.9757234947
29	0.0782354987	0.9946815661	0.9757234947
30	0.07619204917	0.9949715075	0.9762721163
31	0.07509844859	0.9951510616	0.9773693595
32	0.07477976095	0.9952181324	0.9772322041
33	0.07340208248	0.9953704389	0.9784666027
34	0.07248371355	0.9955033229	0.9786037581
35	0.06941919714	0.9960608489	0.9791523796
36	0.06893999946	0.9961270813	0.9787409135
37	0.0682278586	0.9962624804	0.9794266904
38	0.06763136599	0.9962974131	0.9798381566
39	0.06702226069	0.9963111067	0.9794266904
40	0.06669976477	0.9963915917	0.9798381566
41	0.06559724794	0.9964917787	0.9798381566
42	0.06491674224	0.9965779926	0.9802496228
43	0.06416093449	0.9967079422	0.9801124674
44	0.06396781475	0.9967462285	0.9802496228
45	0.06385791634	0.9967599221	0.9803867782
46	0.06279058927	0.9969183768	0.980661089
47	0.06269852179	0.9969352842	0.9803867782
48	0.06254629542	0.9969549863	0.9807982444
49	0.0624299116	0.9969758062	0.9805239336
