iter	Passed	Remaining
0	62	3080
1	132	3183
2	192	3016
3	260	2995
4	324	2921
5	396	2911
6	471	2895
7	539	2830
8	606	2761
9	673	2695
10	751	2663
11	822	2605
12	891	2536
13	963	2478
14	1031	2407
15	1100	2339
16	1167	2266
17	1229	2186
18	1297	2116
19	1371	2057
20	1442	1991
21	1507	1919
22	1578	1852
23	1644	1781
24	1713	1713
25	1785	1647
26	1862	1586
27	1932	1518
28	2001	1449
29	2066	1377
30	2135	1308
31	2201	1238
32	2270	1169
33	2338	1100
34	2406	1031
35	2471	961
36	2539	892
37	2606	823
38	2677	755
39	2744	686
40	2817	618
41	2884	549
42	2950	480
43	3020	411
44	3091	343
45	3170	275
46	3242	206
47	3323	138
48	3393	69
49	3458	0
